江西电信,#genre#
山西卫视,http://112.66.71.247:8188/rtp/239.253.64.31:5140
陕西卫视,http://112.66.71.247:8188/rtp/239.253.64.37:5140
内蒙古卫视,http://112.66.71.247:8188/rtp/239.253.64.144:5140
宁夏卫视,http://112.66.71.247:8188/rtp/239.253.64.89:5140
青海卫视,http://112.66.71.247:8188/rtp/239.253.64.46:5140
厦门卫视,http://112.66.71.247:8188/rtp/239.253.64.179:5140
西藏卫视,http://112.66.71.247:8188/rtp/239.253.64.143:5140
新疆卫视,http://112.66.71.247:8188/rtp/239.253.64.146:5140
云南卫视,http://112.66.71.247:8188/rtp/239.253.64.147:5140
兵团卫视,http://112.66.71.247:8188/rtp/239.253.64.178:5140




咪咕,#genre#
CCTV-01咪咕,http://go.bkpcp.top/mg/cctv1
CCTV-02咪咕,http://go.bkpcp.top/mg/cctv2
CCTV-03咪咕,http://go.bkpcp.top/mg/cctv3
CCTV-04咪咕,http://go.bkpcp.top/mg/cctv4
CCTV-05咪咕,http://go.bkpcp.top/mg/cctv5
CCTV-5+咪咕,http://go.bkpcp.top/mg/cctv5p
CCTV-06咪咕,http://go.bkpcp.top/mg/cctv6
CCTV-07咪咕,http://go.bkpcp.top/mg/cctv7
CCTV-08咪咕,http://go.bkpcp.top/mg/cctv8
CCTV-09咪咕,http://go.bkpcp.top/mg/cctv9
CCTV-10咪咕,http://go.bkpcp.top/mg/cctv10
CCTV-11咪咕,http://go.bkpcp.top/mg/cctv11
CCTV-12咪咕,http://go.bkpcp.top/mg/cctv12
CCTV-13咪咕,http://go.bkpcp.top/mg/cctv13
CCTV-14咪咕,http://go.bkpcp.top/mg/cctv14
CCTV-15咪咕,http://go.bkpcp.top/mg/cctv15
CCTV-16咪咕,http://go.bkpcp.top/mg/cctv16
CCTV-17咪咕,http://go.bkpcp.top/mg/cctv17
cct4欧洲咪咕,http://go.bkpcp.top/mg/cctv4o
cct4美洲咪咕,http://go.bkpcp.top/mg/cctv4m
CGTN-西咪咕,http://go.bkpcp.top/mg/cgtne
CGTN-阿咪咕,http://go.bkpcp.top/mg/cgtna
CGTN-法咪咕,http://go.bkpcp.top/mg/cgtnf
北京卫视咪咕,http://go.bkpcp.top/mg/bjws
东方卫视咪咕,http://go.bkpcp.top/mg/dfws
浙江卫视咪咕,http://go.bkpcp.top/mg/zjws
江苏卫视咪咕,http://go.bkpcp.top/mg/jsws
湖南卫视咪咕,http://go.bkpcp.top/mg/hunws
广东卫视咪咕,http://go.bkpcp.top/mg/gdws
深圳卫视咪4k,http://go.bkpcp.top/mg/szws
山东卫视咪咕,http://go.bkpcp.top/mg/sdws
河南卫视咪咕,http://go.bkpcp.top/mg/hnws
江西卫视咪咕,http://go.bkpcp.top/mg/jxws
湖北卫视咪咕,http://go.bkpcp.top/mg/hubws
海南卫视咪咕,http://go.bkpcp.top/mg/hinws
陕西卫视咪咕,http://go.bkpcp.top/mg/sxws
兵团卫视咪咕,http://go.bkpcp.top/mg/btws
黑龙江视咪咕,http://go.bkpcp.top/mg/hljws

上海新纪实,http://8.138.7.223/tv/shtv.php?id=xjs
上海魔都眼,http://8.138.7.223/tv/shtv.php?id=mdy
上海乐游,http://8.138.7.223/tv/shtv.php?id=ly
第一财经,http://8.138.7.223/tv/shtv.php?id=dycj
上海都市,http://8.138.7.223/tv/shtv.php?id=ds
五星体育,http://8.138.7.223/tv/shtv.php?id=wxty
海峡卫视,http://8.138.7.223/tv/fjtv.php?id=3
东南卫视,http://8.138.7.223/tv/fjtv.php?id=5
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8

央卫北京,#genre#
北京新闻,http://k.061899.xyz/m.php?id=bjxw
北京影视,http://k.061899.xyz/m.php?id=bjys
北京文艺,http://k.061899.xyz/m.php?id=bjwy
北京科教,http://k.061899.xyz/m.php?id=bjjs
北京生活,http://k.061899.xyz/m.php?id=bjsh
北京财经,http://k.061899.xyz/m.php?id=bjcj
北京体闲,http://k.061899.xyz/m.php?id=bjty
CCTV-01,http://k.061899.xyz/m.php?id=cctv1
CCTV-02,http://k.061899.xyz/m.php?id=cctv2
CCTV-03,http://k.061899.xyz/m.php?id=cctv3
CCTV-04,http://k.061899.xyz/m.php?id=cctv4
CCTV-05,http://k.061899.xyz/m.php?id=cctv5
CCTV-5+,http://k.061899.xyz/m.php?id=cctv5p
CCTV-06,http://k.061899.xyz/m.php?id=cctv6
CCTV-07,http://k.061899.xyz/m.php?id=cctv7
CCTV-08,http://k.061899.xyz/m.php?id=cctv8
